Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
邹城市鑫尔达化工有限公司,,山东省济宁市邹城市峄化路2689号,,,,150000000.0,2015.0
山东明瑞化工集团有限公司,,肥城市长山街066号,,,,150000000.0,2005.0
巨野瑞良化工有限公司,,巨野县大义镇开发区(原山东巨野瑞源科技有限公司),,,,150000000.0,2014.0
威海新元化工有限公司,,威海市环翠区羊亭镇工业新区凤凰山路985号,,,,150000000.0,2001.0
山东金茂纺织化工集团有限公司,,东营市东营区莒州路56号,,,,148000000.0,2004.0
山东浮来春生物化工有限公司,,山东省日照市莒县县城北工业园,,,,140880000.0,2005.0
潍坊亚星集团有限公司,,奎文区鸢飞路899号,,,,138784548.0,1989.0
山东四强化工集团有限公司,,莘县古云镇工业园区,,,,136800000.0,2000.0
山东建兰化工股份有限公司,,山东省淄博市临淄区金山镇一化北路7号,,,,136000000.0,2007.0
山东钾能化工有限公司,,山东省临沂市经济开发区金科财税大厦6楼B629室,,,,130000000.0,2015.0
山东省石油化工有限公司,,济南市历下区经十路13777号,,,,130000000.0,1999.0
青岛北方化工品交易市场有限公司,,山东省青岛市黄岛区长江中路3号鸿润大厦1602-1603室,,,,129869135.0,2010.0
蓬莱新光颜料化工有限公司,,山东省蓬莱市北沟镇海润南路3号,,,,129653600.0,1996.0
日照广信化工科技有限公司,,日照市岚山区化工园区大道3号,,,,128880000.0,2009.0
山东永泰集团有限公司,,广饶县大王镇橡胶工业园青垦路262号,,,,128000000.0,1995.0
潍坊中农联合化工有限公司,,潍坊滨海经济开发区临港化工园内,,,,127400000.0,2006.0
山东腾胜精细化工有限公司,,山东省日照市莒县经济开发区莒安路以东,,,,126000000.0,2012.0
山东成泰化工有限公司,,昌邑滨海(下营)经济开发区,,,,125000000.0,2011.0
山东中氟化工科技有限公司,,山东省章丘市刁镇化工工业园,,,,125000000.0,2004.0
山东兄弟科技股份有限公司,,寿光市渤海工业园羊口镇以南,,,,123300000.0,2006.0
施可丰化工股份有限公司,,临沂经济开发区北京路南首,,,,123245400.0,2001.0
东明万海氯碱化工有限公司,,东明县三八路东段,,,,120000000.0,2005.0
山东海明化工有限公司,,山东沾化经济开发区恒业三路157号,,,,120000000.0,1996.0
东明县金宇化工有限公司,,山东省东明县武胜桥乡工业园区,,,,120000000.0,2006.0
菏泽德源化工有限公司,,菏泽开发区洪泽路8号,,,,120000000.0,2008.0
山东阳煤鼎鑫化工有限公司,,平原县兴平路15号,,,,120000000.0,2013.0
山东宝舜化工科技有限公司,,巨野县田桥镇,,,,120000000.0,2010.0
济南盛通化工有限公司,,济南市天桥区新材料交易中心南区1-1-7号,,,,120000000.0,2016.0
山东华程化工科技有限公司,,临邑县恒源开发区远征路北首,,,,120000000.0,2014.0
山东嘉瑞化工有限公司,,山东省菏泽市东明县南化工园区,,,,120000000.0,2013.0
山东浦盛石油化工有限公司,,日照市岚山区碑廓镇大湖村,,,,120000000.0,2012.0
