Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
中化工油气销售有限公司,,济南市市中区七贤镇杨庄路10号,,,,55885400,2004
济南化工新材料有限公司,,济南市高新开发区正丰路中段9号,,,,375000000,2006
济南阿尔顿精细化工有限公司,,济南市槐荫区段店新村111号,,,,50000000,2012
山东明晟化工工程有限公司,,章丘市明水查旧工业园,,,,50100000,2005
济南盛通化工有限公司,,济南市天桥区新材料交易中心南区1-1-7号,,,,120000000,2016
济南天邦化工有限公司,,山东省济南市商河县经济开发区内汇源街以北晟朗西路以西,,,,30000000,2002
章丘龙兴石油化工配件有限公司,,济南市章丘区双山办事处白泉村,,,,50000000,1999
济南昌圣达化工设备有限公司,,济南市长清区张夏镇金庄村,,,,50000000,2003
山东慧普化工有限公司,,山东省济南市槐荫区阳光新路25号阳光100国际新城3号楼2605室,,,,50000000,2005
山东华程化工科技有限公司,,临邑县恒源开发区远征路北首,,,,120000000,2014
山东卓俊化工有限公司,,山东省济南市高新区舜海路219号华创观礼中心2号楼1102-6,,,,10010000,2012
济南益盈化工有限公司,,山东省济南市历下区历山路92号518室,,,,100000000,2017
正和集团股份有限公司,,山东省东营市广饶县辛桥,,,,104500160,1994
山东优合化工有限公司,,山东省济南市历城区辛祝路17号好兰朵大厦313室,,,,50000000,2018
济南恒业化工有限公司,,山东省济南市历城区辛祝路辛甸社区农家超二楼东头209室,,,,50000000,2008
山东博通石油化工有限公司,,山东省济南市市中区七贤办事处杨庄村337号,,,,30000000,2014
兖矿水煤浆气化及煤化工国家工程研究中心有限公司,,山东省济南市高新技术产业开发区港兴三路北段济南药谷1号楼A座17层,,,,100000000,2014
山东成祥化工有限公司,,山东省济南市槐荫区绿地中央广场C-1地块A栋803,,,,80000000,2006
山东祥旭石油化工有限公司,,济南市历城区清河南路菜园桥南100米,,,,50000000,2016
山东天霸石油化工有限公司,,济南市历下区奥体西路1333号力高国际花园10号楼1508室,,,,20000000,2012
济南诚汇双达化工有限公司,,济南市高新区开拓路2350号九层,,,,90225530,2002
山东垚石化工科技有限公司,,山东省济南市高新区综合保税区港兴三路北段1号济南药谷研发平台区2号楼1101房间,,,,100000000,2016
济南尚诺化工有限公司,,济南市天桥区桑梓店镇济南新材料产业园区舜兴路南段济南新材料产业科技园1号楼东区,,,,,2014
山东晨东化工有限公司,,济南市历下区泉城路180号齐鲁国际大厦804-8号,,,,50000000,2014
山东汇辰石油化工有限公司,,济南市历城区董家街道林家村158号,,,,50000000,2018
华熙福瑞达生物医药有限公司,,山东省济南市高新技术开发区天辰大街678号,,,,430437444,2000
山东飞满化工有限公司,,济南市天桥区蓝翔路15号时代总部基地6区915号,,,,50000000,2016
山东久隆精细化工有限公司,,济南市高新区颖秀路2766号生产楼725室,,,,1000000,2005
济南冶金化工设备有限公司,,长清区张夏镇驻地,,,,92880000,1998
山东特雷西石油化工有限公司,,山东省济南市天桥区小鲁庄工业园9号101室,,,,50000000,2016
山东万华化工科技有限公司,,济南市历城区历山北路北首,,,,35000000,2009
山东俊福石油化工有限公司,,济南市历下区解放路8号,,,,50000000,2013
济南炳耀化工有限公司,,山东省济南市历城区航运路中段明福大厦4楼421室,,,,5000000,2014
山东中乔石油化工有限公司,,济南市历下区龙奥北路8号6、5号楼1-2403,,,,100000000,2015
山东中海兴燃化工有限公司,,山东省济南市历下区旅游路21555号历山国际公寓2单元17层1701室,,,,30000000,2011
济南谷泉化工有限公司,,山东省济南市高新区会展西路88号1号楼1-2518A,,,,3000000,2012
山东中信石油化工有限公司,,山东省济南市天桥区小清河北路188号莆田商会三楼,,,,106880000,2015
山东聚力源化工有限公司,,山东省济南市槐荫区槐村街25号419室,,,,50000000,2008
济南福景化工有限公司,,山东省济南市天桥区新材料交易中心办公楼9层南侧938室,,,,1000000,2014
山东朗威能源化工有限公司,,济南市天桥区无影山中路121号名人广场B座,,,,100000000,2003
盘化(济南)化工有限公司,,山东省济南市章丘市曹范镇驻地,,,,70000000,2015
山东中坛石油化工有限公司,,山东省济南市济阳县孙耿街道文化大院东侧103室,,,,100000000,2015
济南谷利化工有限公司,,济南市市中区经一路88号明珠怡和商务大厦25A-29室,,,,38000000,2016
山东茂腾化工有限公司,,济南市历下区文化东路78号万豪国际6号楼1203室,,,,38000000,2015
济南薛成化工有限公司,,济南市市中区升平街8号楼219室,,,,38000000,2016
济南砜徕化工有限公司,,济南市市中区泺源大街229号金龙大厦东楼13层1324室,,,,40000000,2016
济南凯迪精细化工有限公司,,山东省济南市槐荫区经七路843号泰山国际大厦21层A06室,,,,2000000,2011
山东大广化工有限公司,,山东省济南市历城区工业北路88号东都国际广场2号楼1722室,,,,30000000,2016
